"全域・集中の別030002","時間軸(年次)","年齢各歳階級Ｂ030003","全国都道府県030001","男女Ａ030001","VALUE"
"全域","1980年"," ５歳","神奈川県","男女総数","118682"
"全域","1980年"," ５歳","新潟県","男女総数","38371"
"全域","1980年"," ５歳","富山県","男女総数","17947"
"全域","1980年"," ５歳","石川県","男女総数","19335"
"全域","1980年"," ５歳","福井県","男女総数","12874"
"全域","1980年"," ５歳","山梨県","男女総数","12359"
"全域","1980年"," ５歳","長野県","男女総数","33172"
"全域","1980年"," ５歳","岐阜県","男女総数","33167"
"全域","1980年"," ５歳","静岡県","男女総数","58980"
"全域","1980年"," ５歳","愛知県","男女総数","110102"
"全域","1980年"," ５歳","三重県","男女総数","27068"
"全域","1980年"," ５歳","滋賀県","男女総数","19413"
"全域","1980年"," ５歳","京都府","男女総数","40871"
"全域","1980年"," ５歳","大阪府","男女総数","142789"
"全域","1980年"," ５歳","兵庫県","男女総数","86653"
"全域","1980年"," ５歳","奈良県","男女総数","20591"
"全域","1980年"," ５歳","和歌山県","男女総数","16867"
"全域","1980年"," ５歳","鳥取県","男女総数","9271"
"全域","1980年"," ５歳","島根県","男女総数","11793"
"全域","1980年"," ５歳","岡山県","男女総数","30788"
"全域","1980年"," ５歳","広島県","男女総数","46856"
"全域","1980年"," ５歳","山口県","男女総数","24943"
"全域","1980年"," ５歳","徳島県","男女総数","12414"
"全域","1980年"," ５歳","香川県","男女総数","16266"
"全域","1980年"," ５歳","愛媛県","男女総数","24255"
"全域","1980年"," ５歳","高知県","男女総数","12280"
"全域","1980年"," ５歳","福岡県","男女総数","74041"
"全域","1980年"," ５歳","佐賀県","男女総数","13933"
"全域","1980年"," ５歳","長崎県","男女総数","26377"
"全域","1980年"," ５歳","熊本県","男女総数","27390"
"全域","1980年"," ５歳","大分県","男女総数","19327"
"全域","1980年"," ５歳","宮崎県","男女総数","19366"
"全域","1980年"," ５歳","鹿児島県","男女総数","26960"
"全域","1980年"," ５歳","沖縄県","男女総数","22888"
"全域","1980年"," ６歳","全国","男女総数","2033501"
"全域","1980年"," ６歳","全国市部","男女総数","1569796"
"全域","1980年"," ６歳","全国郡部","男女総数","463705"
"全域","1980年"," ６歳","北海道","男女総数","94706"
"全域","1980年"," ６歳","青森県","男女総数","25614"
"全域","1980年"," ６歳","岩手県","男女総数","23064"
"全域","1980年"," ６歳","宮城県","男女総数","35111"
"全域","1980年"," ６歳","秋田県","男女総数","18410"
"全域","1980年"," ６歳","山形県","男女総数","18577"
"全域","1980年"," ６歳","福島県","男女総数","33688"
"全域","1980年"," ６歳","茨城県","男女総数","47111"
"全域","1980年"," ６歳","栃木県","男女総数","32544"
"全域","1980年"," ６歳","群馬県","男女総数","33115"
"全域","1980年"," ６歳","埼玉県","男女総数","111805"
"全域","1980年"," ６歳","千葉県","男女総数","92520"
"全域","1980年"," ６歳","東京都","男女総数","172337"
"全域","1980年"," ６歳","神奈川県","男女総数","126888"
"全域","1980年"," ６歳","新潟県","男女総数","39416"
"全域","1980年"," ６歳","富山県","男女総数","18886"
"全域","1980年"," ６歳","石川県","男女総数","20184"
"全域","1980年"," ６歳","福井県","男女総数","13363"
"全域","1980年"," ６歳","山梨県","男女総数","12786"
"全域","1980年"," ６歳","長野県","男女総数","34683"
"全域","1980年"," ６歳","岐阜県","男女総数","35197"
"全域","1980年"," ６歳","静岡県","男女総数","61465"
"全域","1980年"," ６歳","愛知県","男女総数","116991"
"全域","1980年"," ６歳","三重県","男女総数","28532"
"全域","1980年"," ６歳","滋賀県","男女総数","20025"
"全域","1980年"," ６歳","京都府","男女総数","43335"
"全域","1980年"," ６歳","大阪府","男女総数","154299"
"全域","1980年"," ６歳","兵庫県","男女総数","91630"
"全域","1980年"," ６歳","奈良県","男女総数","22184"
"全域","1980年"," ６歳","和歌山県","男女総数","18095"
"全域","1980年"," ６歳","鳥取県","男女総数","9688"
"全域","1980年"," ６歳","島根県","男女総数","12339"
"全域","1980年"," ６歳","岡山県","男女総数","32019"
"全域","1980年"," ６歳","広島県","男女総数","49318"
"全域","1980年"," ６歳","山口県","男女総数","26149"
"全域","1980年"," ６歳","徳島県","男女総数","12809"
"全域","1980年"," ６歳","香川県","男女総数","16873"
"全域","1980年"," ６歳","愛媛県","男女総数","25324"
"全域","1980年"," ６歳","高知県","男女総数","12977"
"全域","1980年"," ６歳","福岡県","男女総数","77206"
"全域","1980年"," ６歳","佐賀県","男女総数","14335"
"全域","1980年"," ６歳","長崎県","男女総数","27362"
"全域","1980年"," ６歳","熊本県","男女総数","28045"
"全域","1980年"," ６歳","大分県","男女総数","19993"
"全域","1980年"," ６歳","宮崎県","男女総数","20168"
"全域","1980年"," ６歳","鹿児島県","男女総数","28217"
"全域","1980年"," ６歳","沖縄県","男女総数","24118"
"全域","1980年"," ７歳","全国","男女総数","2067213"
"全域","1980年"," ７歳","全国市部","男女総数","1600691"
"全域","1980年"," ７歳","全国郡部","男女総数","466522"
"全域","1980年"," ７歳","北海道","男女総数","94864"
