"全域・集中の別030002","時間軸(年次)","年齢５歳階級Ａ030002","全国都道府県030001","男女Ａ030001","VALUE"
"全域","1980年","１０－１４歳","大分県","男女総数","89920"
"全域","1980年","１０－１４歳","宮崎県","男女総数","86934"
"全域","1980年","１０－１４歳","鹿児島県","男女総数","135949"
"全域","1980年","１０－１４歳","沖縄県","男女総数","105654"
"全域","1980年","１５－１９歳","全国","男女総数","8272245"
"全域","1980年","１５－１９歳","全国市部","男女総数","6427250"
"全域","1980年","１５－１９歳","全国郡部","男女総数","1844995"
"全域","1980年","１５－１９歳","北海道","男女総数","410100"
"全域","1980年","１５－１９歳","青森県","男女総数","116892"
"全域","1980年","１５－１９歳","岩手県","男女総数","101109"
"全域","1980年","１５－１９歳","宮城県","男女総数","153089"
"全域","1980年","１５－１９歳","秋田県","男女総数","85816"
"全域","1980年","１５－１９歳","山形県","男女総数","83916"
"全域","1980年","１５－１９歳","福島県","男女総数","145490"
"全域","1980年","１５－１９歳","茨城県","男女総数","172715"
"全域","1980年","１５－１９歳","栃木県","男女総数","119231"
"全域","1980年","１５－１９歳","群馬県","男女総数","123208"
"全域","1980年","１５－１９歳","埼玉県","男女総数","380181"
"全域","1980年","１５－１９歳","千葉県","男女総数","321435"
"全域","1980年","１５－１９歳","東京都","男女総数","876161"
"全域","1980年","１５－１９歳","神奈川県","男女総数","491991"
"全域","1980年","１５－１９歳","新潟県","男女総数","162266"
"全域","1980年","１５－１９歳","富山県","男女総数","70385"
"全域","1980年","１５－１９歳","石川県","男女総数","75841"
"全域","1980年","１５－１９歳","福井県","男女総数","53723"
"全域","1980年","１５－１９歳","山梨県","男女総数","58499"
"全域","1980年","１５－１９歳","長野県","男女総数","133384"
"全域","1980年","１５－１９歳","岐阜県","男女総数","143397"
"全域","1980年","１５－１９歳","静岡県","男女総数","236196"
"全域","1980年","１５－１９歳","愛知県","男女総数","470750"
"全域","1980年","１５－１９歳","三重県","男女総数","119567"
"全域","1980年","１５－１９歳","滋賀県","男女総数","73074"
"全域","1980年","１５－１９歳","京都府","男女総数","182015"
"全域","1980年","１５－１９歳","大阪府","男女総数","626590"
"全域","1980年","１５－１９歳","兵庫県","男女総数","355232"
"全域","1980年","１５－１９歳","奈良県","男女総数","85823"
"全域","1980年","１５－１９歳","和歌山県","男女総数","73128"
"全域","1980年","１５－１９歳","鳥取県","男女総数","39403"
"全域","1980年","１５－１９歳","島根県","男女総数","48697"
"全域","1980年","１５－１９歳","岡山県","男女総数","123622"
"全域","1980年","１５－１９歳","広島県","男女総数","177369"
"全域","1980年","１５－１９歳","山口県","男女総数","101102"
"全域","1980年","１５－１９歳","徳島県","男女総数","55133"
"全域","1980年","１５－１９歳","香川県","男女総数","62574"
"全域","1980年","１５－１９歳","愛媛県","男女総数","101162"
"全域","1980年","１５－１９歳","高知県","男女総数","50882"
"全域","1980年","１５－１９歳","福岡県","男女総数","319672"
"全域","1980年","１５－１９歳","佐賀県","男女総数","62134"
